participant,trial,practice,speed,delta_var,action,completion_time,edgeA_speed,edgeA_var,edgeB_original_speed,edgeB_speed,edgeB_var,delta_speed,visual_variable
6,0,true,5.358,small,increase,50.568,5.358,12,1.5510000000000002,4.4979000000000005,21,2.9469,width
6,1,true,19.345200000000002,medium,decrease,31.436,19.345200000000002,12,36.755880000000005,30.468689999999995,36.75,6.287189999999999,width
6,2,true,36.755880000000005,high,decrease,38.766,36.755880000000005,12,69.936,56.152545,55.125,13.783455000000002,width
6,3,true,19.345200000000002,same,increase,19.023,19.345200000000002,12,10.1802,20.33643,12,10.15623,width
6,4,false,19.345200000000002,high,decrease,27.226,19.345200000000002,12,36.755880000000005,29.01780000000001,55.125,7.73808,width
6,5,false,19.345200000000002,high,increase,50.776,19.345200000000002,12,10.1802,21.303689999999996,55.125,11.123490000000002,width
6,6,false,36.755880000000005,small,increase,36.368,36.755880000000005,12,19.345200000000002,41.398728,21,22.053528000000007,width
6,7,false,36.755880000000005,small,decrease,24.51,36.755880000000005,12,69.936,47.882472,21,22.05352800000001,width
6,8,false,5.358,small,decrease,25.671,5.358,12,10.1802,6.295649999999999,21,3.8845500000000004,width
6,9,false,5.358,small,increase,32.167,5.358,12,1.5510000000000002,5.435549999999999,21,3.8845500000000004,width
6,10,false,36.755880000000005,high,increase,36.128,36.755880000000005,12,19.345200000000002,41.398728,55.125,22.053528000000007,width
6,11,false,36.755880000000005,high,decrease,39.167,36.755880000000005,12,69.936,38.693501999999995,55.125,31.242498,width
6,12,false,19.345200000000002,same,decrease,47.904,19.345200000000002,12,36.755880000000005,20.31246,12,16.44342,width
6,13,false,19.345200000000002,same,increase,32.389,19.345200000000002,12,10.1802,23.72184,12,13.541640000000005,width
6,14,false,5.358,small,increase,26.263,5.358,12,1.5510000000000002,6.3732,21,4.822199999999999,width
6,15,false,5.358,small,decrease,23.714,5.358,12,10.1802,7.367249999999999,21,2.8129500000000003,width
6,16,false,5.358,same,decrease,57.057,5.358,12,10.1802,5.625899999999999,12,4.5543,width
6,17,false,5.358,same,increase,25.689,5.358,12,1.5510000000000002,6.77505,12,5.22405,width
6,18,false,36.755880000000005,medium,increase,22.45,36.755880000000005,12,19.345200000000002,43.23652200000001,36.75,23.891322000000006,width
6,19,false,36.755880000000005,medium,decrease,15.857,36.755880000000005,12,69.936,43.287987,36.75,26.648013000000002,width
6,20,false,19.345200000000002,small,decrease,22.312,19.345200000000002,12,36.755880000000005,19.82883,21,16.927049999999998,width
6,21,false,19.345200000000002,small,increase,14.508,19.345200000000002,12,10.1802,17.918280000000003,21,7.738080000000001,width
6,22,false,36.755880000000005,high,increase,15.476,36.755880000000005,12,19.345200000000002,48.74990400000001,55.125,29.404704000000006,width
6,23,false,36.755880000000005,high,decrease,26.439,36.755880000000005,12,69.936,46.96357500000001,55.125,22.972424999999994,width
6,24,false,5.358,medium,decrease,13.976,5.358,12,10.1802,5.491949999999999,36.75,4.68825,width
6,25,false,5.358,medium,increase,10.744,5.358,12,1.5510000000000002,5.8374000000000015,36.75,4.2864,width
6,26,false,5.358,high,increase,32.273,5.358,12,1.5510000000000002,6.909000000000001,55.125,5.3580000000000005,width
6,27,false,5.358,high,decrease,14.504,5.358,12,10.1802,5.8938,55.125,4.2864,width
6,28,false,5.358,same,decrease,20.297,5.358,12,10.1802,6.161699999999999,12,4.0185,width
6,29,false,5.358,same,increase,11.903,5.358,12,1.5510000000000002,7.042949999999999,12,5.49195,width
