participant,trial,practice,speed,delta_var,action,completion_time,edgeA_speed,edgeA_var,edgeB_original_speed,edgeB_speed,edgeB_var,delta_speed
14,0,true,5.358,small,increase,14.144,5.358,#000000,1.5510000000000002,5.70345,#4e4e4e,4.152449999999999
14,1,true,19.345200000000002,medium,decrease,7.233,19.345200000000002,#000000,36.755880000000005,29.50143,#a2a2a2,7.254449999999999
14,2,true,36.755880000000005,high,decrease,7.518,36.755880000000005,#000000,69.936,34.099016999999996,#ffffff,35.836983000000004
14,3,true,19.345200000000002,same,increase,9.433,19.345200000000002,#000000,10.1802,17.918280000000003,#000000,7.738080000000001
14,4,false,19.345200000000002,same,decrease,8.625,19.345200000000002,#000000,36.755880000000005,26.59965,#000000,10.156229999999999
14,5,false,19.345200000000002,same,increase,9.949,19.345200000000002,#000000,10.1802,16.95102,#000000,6.770820000000001
14,6,false,36.755880000000005,medium,increase,7.044,36.755880000000005,#000000,19.345200000000002,36.804243,#a2a2a2,17.459042999999998
14,7,false,36.755880000000005,medium,decrease,7.991,36.755880000000005,#000000,69.936,38.693501999999995,#a2a2a2,31.242498
14,8,false,36.755880000000005,same,decrease,8.672,36.755880000000005,#000000,69.936,33.18012,#000000,36.755880000000005
14,9,false,36.755880000000005,same,increase,7.179,36.755880000000005,#000000,19.345200000000002,38.64203700000001,#000000,19.296837000000004
14,10,false,19.345200000000002,high,increase,7.632,19.345200000000002,#000000,10.1802,18.40191,#ffffff,8.22171
14,11,false,19.345200000000002,high,decrease,6.698,19.345200000000002,#000000,36.755880000000005,24.665130000000005,#ffffff,12.090749999999998
14,12,false,5.358,high,decrease,11.441,5.358,#000000,10.1802,7.903049999999999,#ffffff,2.2771500000000002
14,13,false,5.358,high,increase,12.178,5.358,#000000,1.5510000000000002,6.239250000000001,#ffffff,4.68825
14,14,false,19.345200000000002,small,increase,6.942,19.345200000000002,#000000,10.1802,18.885540000000002,#4e4e4e,8.705340000000001
14,15,false,19.345200000000002,small,decrease,10.502,19.345200000000002,#000000,36.755880000000005,23.21424,#4e4e4e,13.541640000000005
14,16,false,19.345200000000002,high,decrease,10.659,19.345200000000002,#000000,36.755880000000005,23.69787,#ffffff,13.05801
14,17,false,19.345200000000002,high,increase,15.514,19.345200000000002,#000000,10.1802,23.238210000000002,#ffffff,13.058010000000003
14,18,false,36.755880000000005,small,increase,5.975,36.755880000000005,#000000,19.345200000000002,43.23652200000001,#4e4e4e,23.891322000000006
14,19,false,36.755880000000005,small,decrease,12.447,36.755880000000005,#000000,69.936,43.287987,#4e4e4e,26.648013000000002
14,20,false,5.358,small,decrease,10.365,5.358,#000000,10.1802,7.233300000000001,#4e4e4e,2.9469
14,21,false,5.358,small,increase,15.36,5.358,#000000,1.5510000000000002,5.971350000000001,#4e4e4e,4.420350000000001
14,22,false,36.755880000000005,high,increase,8.884,36.755880000000005,#000000,19.345200000000002,37.72314,#ffffff,18.377940000000002
14,23,false,36.755880000000005,high,decrease,13.412,36.755880000000005,#000000,69.936,39.612399,#ffffff,30.323601000000004
14,24,false,19.345200000000002,same,decrease,7.469,19.345200000000002,#000000,36.755880000000005,23.21424,#000000,13.541640000000005
14,25,false,19.345200000000002,same,increase,9.91,19.345200000000002,#000000,10.1802,23.72184,#000000,13.541640000000005
14,26,false,5.358,small,increase,11.65,5.358,#000000,1.5510000000000002,8.650350000000001,#4e4e4e,7.09935
14,27,false,5.358,small,decrease,8.322,5.358,#000000,10.1802,8.438849999999999,#4e4e4e,1.7413500000000004
14,28,false,5.358,same,decrease,10.281,5.358,#000000,10.1802,8.304899999999998,#000000,1.8753
14,29,false,5.358,same,increase,6.459,5.358,#000000,1.5510000000000002,4.36395,#000000,2.8129500000000003
14,30,false,36.755880000000005,medium,increase,9.966,36.755880000000005,#000000,19.345200000000002,24.858582000000002,#a2a2a2,5.513382000000003
14,31,false,36.755880000000005,medium,decrease,8.437,36.755880000000005,#000000,69.936,42.36909,#a2a2a2,27.566910000000004
14,32,false,19.345200000000002,small,decrease,8.108,19.345200000000002,#000000,36.755880000000005,22.246980000000004,#4e4e4e,14.508900000000004
14,33,false,19.345200000000002,small,increase,7.801,19.345200000000002,#000000,10.1802,21.303689999999996,#4e4e4e,11.123490000000002
14,34,false,36.755880000000005,high,increase,17.476,36.755880000000005,#000000,19.345200000000002,37.72314,#ffffff,18.377940000000002
14,35,false,36.755880000000005,high,decrease,15.01,36.755880000000005,#000000,69.936,39.612399,#ffffff,30.323601000000004
14,36,false,5.358,medium,decrease,10.825,5.358,#000000,10.1802,9.1086,#a2a2a2,1.0715999999999997
14,37,false,5.358,medium,increase,9.423,5.358,#000000,1.5510000000000002,4.4979000000000005,#a2a2a2,2.9469
14,38,false,5.358,high,increase,10.322,5.358,#000000,1.5510000000000002,5.569500000000001,#ffffff,4.0185
14,39,false,5.358,high,decrease,8.714,5.358,#000000,10.1802,6.83145,#ffffff,3.34875
14,40,false,5.358,same,decrease,11.866,5.358,#000000,10.1802,7.903049999999999,#000000,2.2771500000000002
14,41,false,5.358,same,increase,17.972,5.358,#000000,1.5510000000000002,6.239250000000001,#000000,4.68825
14,42,false,36.755880000000005,small,increase,17.151,36.755880000000005,#000000,19.345200000000002,36.804243,#4e4e4e,17.459042999999998
14,43,false,36.755880000000005,small,decrease,6.703,36.755880000000005,#000000,69.936,35.017914000000005,#4e4e4e,34.918086
14,44,false,5.358,medium,decrease,7.716,5.358,#000000,10.1802,8.8407,#a2a2a2,1.3395000000000001
14,45,false,5.358,medium,increase,14.391,5.358,#000000,1.5510000000000002,5.70345,#a2a2a2,4.152449999999999
14,46,false,19.345200000000002,medium,increase,8.537,19.345200000000002,#000000,10.1802,19.36917,#a2a2a2,9.188970000000001
14,47,false,19.345200000000002,medium,decrease,15.426,19.345200000000002,#000000,36.755880000000005,25.632390000000004,#a2a2a2,11.123489999999999
14,48,false,19.345200000000002,medium,decrease,10.148,19.345200000000002,#000000,36.755880000000005,25.632390000000004,#a2a2a2,11.123489999999999
14,49,false,19.345200000000002,medium,increase,5.349,19.345200000000002,#000000,10.1802,22.270950000000003,#a2a2a2,12.090750000000005
14,50,false,36.755880000000005,same,increase,11.507,36.755880000000005,#000000,19.345200000000002,35.885346,#000000,16.540146
14,51,false,36.755880000000005,same,decrease,16.766,36.755880000000005,#000000,69.936,36.855708,#000000,33.080292
