participant,trial,practice,speed,delta_luminance,action,completion_time,edgeA_speed,edgeA_color,edgeB_original_speed,edgeB_speed,edgeB_color,delta_speed
0,0,true,5.358,11,increase,69.922,5.358,#000000,1.5510000000000002,5.033700000000003,#000000,-0.3242999999999956
0,1,true,19.345200000000002,40,decrease,36.133,19.345200000000002,#000000,36.755880000000005,20.31246,#000000,0.9672600000000025
0,2,true,36.755880000000005,70,decrease,39.563,36.755880000000005,#000000,69.936,41.45019300000006,#000000,4.69431300000006
0,3,true,19.345200000000002,0,increase,46.353,19.345200000000002,#000000,10.1802,25.17273,#000000,5.827530000000001
0,4,false,5.358,70,decrease,45.572,5.358,#000000,10.1802,4.822200000000009,#000000,-0.5357999999999905
0,5,false,5.358,70,increase,25.091,5.358,#000000,1.5510000000000002,6.105300000000004,#000000,0.7473000000000042
0,6,false,19.345200000000002,11,increase,25.303,19.345200000000002,#000000,10.1802,18.885540000000002,#000000,-0.45966000000000073
0,7,false,19.345200000000002,11,decrease,39.075,19.345200000000002,#000000,36.755880000000005,18.377940000000002,#000000,-0.9672599999999975
0,8,false,19.345200000000002,70,decrease,44.002,19.345200000000002,#000000,36.755880000000005,19.828830000000004,#000000,0.4836300000000025
0,9,false,19.345200000000002,70,increase,48.762,19.345200000000002,#000000,10.1802,20.82006,#000000,1.474859999999999
0,10,false,36.755880000000005,11,increase,31.552,36.755880000000005,#000000,19.345200000000002,37.723140000000036,#000000,0.9672600000000401
0,11,false,36.755880000000005,11,decrease,19.566,36.755880000000005,#000000,69.936,35.936811000000056,#000000,-0.8190689999999546
0,12,false,5.358,11,decrease,26.138,5.358,#000000,10.1802,7.367250000000007,#000000,2.0092500000000073
0,13,false,5.358,11,increase,89.646,5.358,#000000,1.5510000000000002,6.909000000000001,#000000,1.551000000000002
0,14,false,36.755880000000005,70,increase,8.104,36.755880000000005,#000000,19.345200000000002,35.88534600000004,#000000,-0.8705339999999648
0,15,false,36.755880000000005,70,decrease,14.164,36.755880000000005,#000000,69.936,35.936811000000056,#000000,-0.8190689999999546
0,16,false,19.345200000000002,0,decrease,37.767,19.345200000000002,#000000,36.755880000000005,20.796090000000003,#000000,1.4508900000000022
0,17,false,19.345200000000002,0,increase,17.881,19.345200000000002,#000000,10.1802,21.78732,#000000,2.442119999999999
0,18,false,5.358,11,increase,11.734,5.358,#000000,1.5510000000000002,4.497900000000004,#000000,-0.8600999999999966
0,19,false,5.358,11,decrease,29.657,5.358,#000000,10.1802,6.831450000000009,#000000,1.4734500000000088
0,20,false,5.358,0,decrease,33.325,5.358,#000000,10.1802,6.1617000000000095,#000000,0.8037000000000104
0,21,false,5.358,0,increase,37.122,5.358,#000000,1.5510000000000002,5.167650000000004,#000000,-0.19034999999999594
0,22,false,36.755880000000005,40,increase,22.028,36.755880000000005,#000000,19.345200000000002,29.45306700000002,#000000,-7.302812999999982
0,23,false,36.755880000000005,40,decrease,14.841,36.755880000000005,#000000,69.936,35.936811000000056,#000000,-0.8190689999999546
0,24,false,19.345200000000002,11,decrease,23.193,19.345200000000002,#000000,36.755880000000005,22.246980000000004,#000000,2.9017800000000022
0,25,false,19.345200000000002,11,increase,63.154,19.345200000000002,#000000,10.1802,20.82006,#000000,1.474859999999999
0,26,false,36.755880000000005,70,increase,25.163,36.755880000000005,#000000,19.345200000000002,36.804243000000035,#000000,0.04836300000003756
0,27,false,36.755880000000005,70,decrease,23.677,36.755880000000005,#000000,69.936,35.01791400000004,#000000,-1.7379659999999568
0,28,false,5.358,40,decrease,39.181,5.358,#000000,10.1802,6.563550000000009,#000000,1.2055500000000092
0,29,false,5.358,40,increase,11.142,5.358,#000000,1.5510000000000002,4.899750000000004,#000000,-0.4582499999999958
0,30,false,5.358,70,increase,35.888,5.358,#000000,1.5510000000000002,5.971350000000005,#000000,0.6133500000000045
0,31,false,5.358,70,decrease,35.73,5.358,#000000,10.1802,6.4296000000000095,#000000,1.0716000000000099
0,32,false,5.358,0,decrease,32.659,5.358,#000000,10.1802,4.420350000000009,#000000,-0.9376499999999913
0,33,false,5.358,0,increase,13.52,5.358,#000000,1.5510000000000002,5.435550000000005,#000000,0.07755000000000523
0,34,false,36.755880000000005,11,increase,26.774,36.755880000000005,#000000,19.345200000000002,37.723140000000036,#000000,0.9672600000000401
0,35,false,36.755880000000005,11,decrease,54.389,36.755880000000005,#000000,69.936,36.85570800000005,#000000,0.09982800000004786
0,36,false,5.358,40,decrease,33.308,5.358,#000000,10.1802,5.759850000000012,#000000,0.4018500000000115
0,37,false,5.358,40,increase,20.037,5.358,#000000,1.5510000000000002,5.837400000000005,#000000,0.4794000000000048
0,38,false,19.345200000000002,40,increase,20.758,19.345200000000002,#000000,10.1802,19.36917,#000000,0.02396999999999924
0,39,false,19.345200000000002,40,decrease,95.959,19.345200000000002,#000000,36.755880000000005,20.31246,#000000,0.9672600000000025
0,40,false,19.345200000000002,40,decrease,17.724,19.345200000000002,#000000,36.755880000000005,21.279720000000008,#000000,1.9345200000000022
0,41,false,19.345200000000002,40,increase,48.569,19.345200000000002,#000000,10.1802,16.46739,#000000,-2.8778100000000006
0,42,false,36.755880000000005,0,increase,12.263,36.755880000000005,#000000,19.345200000000002,33.12865500000003,#000000,-3.6272249999999726
0,43,false,36.755880000000005,0,decrease,17.608,36.755880000000005,#000000,69.936,42.36909000000006,#000000,5.613210000000063
0,44,false,19.345200000000002,0,decrease,34.713,19.345200000000002,#000000,36.755880000000005,17.894310000000004,#000000,-1.4508899999999973
0,45,false,19.345200000000002,0,increase,37.38,19.345200000000002,#000000,10.1802,20.336430000000004,#000000,0.9912300000000016
0,46,false,36.755880000000005,40,increase,12.529,36.755880000000005,#000000,19.345200000000002,31.290861000000028,#000000,-5.465018999999977
0,47,false,36.755880000000005,40,decrease,26.939,36.755880000000005,#000000,69.936,34.099017000000046,#000000,-2.656862999999959
0,48,false,36.755880000000005,0,decrease,25.361,36.755880000000005,#000000,69.936,40.53129600000006,#000000,3.7754160000000576
