"participant";"trial";"practice";"speed";"delta_luminance";"action";"completion_time";"edgeA_speed";"edgeA_color";"edgeB_original_speed";"edgeB_speed";"edgeB_color";"delta_speed"
"2";"0";"true";"5.358";"11";"increase";"80.091";"5.358";"#252525";"1.5510000000000002";"5.569500000000006";"#525252";"0.21150000000000552"
"2";"1";"true";"19.345200000000002";"40";"decrease";"50.917";"19.345200000000002";"#252525";"36.755880000000005";"21.279720000000008";"#969696";"1.9345200000000022"
"2";"2";"true";"36.755880000000005";"70";"decrease";"39.508";"36.755880000000005";"#252525";"69.936";"35.01791400000004";"#d9d9d9";"-1.7379659999999568"
"2";"3";"true";"19.345200000000002";"0";"increase";"63.918";"19.345200000000002";"#252525";"10.1802";"19.852800000000002";"#252525";"0.5075999999999992"
"2";"4";"false";"19.345200000000002";"0";"decrease";"82.114";"19.345200000000002";"#252525";"36.755880000000005";"16.927050000000005";"#252525";"-2.4181499999999923"
"2";"5";"false";"19.345200000000002";"0";"increase";"32.343";"19.345200000000002";"#252525";"10.1802";"18.885540000000002";"#252525";"-0.45966000000000073"
"2";"6";"false";"36.755880000000005";"40";"increase";"34.354";"36.755880000000005";"#252525";"19.345200000000002";"32.20975800000003";"#969696";"-4.546121999999975"
"2";"7";"false";"36.755880000000005";"40";"decrease";"34.038";"36.755880000000005";"#252525";"69.936";"35.01791400000004";"#969696";"-1.7379659999999568"
"2";"8";"false";"36.755880000000005";"0";"decrease";"38.712";"36.755880000000005";"#252525";"69.936";"45.12578100000007";"#252525";"8.36990100000007"
"2";"9";"false";"36.755880000000005";"0";"increase";"28.584";"36.755880000000005";"#252525";"19.345200000000002";"28.534170000000017";"#252525";"-8.221709999999984"
"2";"10";"false";"19.345200000000002";"70";"increase";"36.171";"19.345200000000002";"#252525";"10.1802";"19.852800000000002";"#d9d9d9";"0.5075999999999992"
"2";"11";"false";"19.345200000000002";"70";"decrease";"132.107";"19.345200000000002";"#252525";"36.755880000000005";"19.828830000000004";"#d9d9d9";"0.4836300000000025"
