"participant";"trial";"practice";"speed";"delta_var";"action";"completion_time";"edgeA_speed";"edgeA_var";"edgeB_original_speed";"edgeB_speed";"edgeB_var";"delta_speed"
"0";"0";"true";"5.358";"small";"increase";"11.036";"5.358";"12";"1.5510000000000002";"4.89975";"21";"3.34875"
"0";"1";"true";"19.345200000000002";"medium";"decrease";"5.544";"19.345200000000002";"12";"36.755880000000005";"21.27972";"36.75";"15.476160000000002"
"0";"2";"true";"36.755880000000005";"high";"decrease";"4.663";"36.755880000000005";"12";"69.936";"35.936811";"55.125";"33.99918900000001"
"0";"3";"true";"19.345200000000002";"same";"increase";"7.697";"19.345200000000002";"12";"10.1802";"21.787320000000005";"12";"11.607120000000004"
"0";"4";"false";"5.358";"high";"decrease";"6.669";"5.358";"12";"10.1802";"4.956149999999999";"55.125";"5.22405"
"0";"5";"false";"5.358";"high";"increase";"6.256";"5.358";"12";"1.5510000000000002";"4.89975";"55.125";"3.34875"
"0";"6";"false";"19.345200000000002";"small";"increase";"5.587";"19.345200000000002";"12";"10.1802";"15.0165";"21";"4.836300000000001"
"0";"7";"false";"19.345200000000002";"small";"decrease";"4.354";"19.345200000000002";"12";"36.755880000000005";"25.632390000000004";"21";"11.123489999999999"
"0";"8";"false";"19.345200000000002";"high";"decrease";"6.703";"19.345200000000002";"12";"36.755880000000005";"27.566910000000004";"55.125";"9.18897"
"0";"9";"false";"19.345200000000002";"high";"increase";"12.495";"19.345200000000002";"12";"10.1802";"20.82006";"55.125";"10.63986"
"0";"10";"false";"36.755880000000005";"small";"increase";"5.872";"36.755880000000005";"12";"19.345200000000002";"40.479831";"21";"21.134631"
"0";"11";"false";"36.755880000000005";"small";"decrease";"6.811";"36.755880000000005";"12";"69.936";"59.82813300000001";"21";"10.107867"
"0";"12";"false";"5.358";"small";"decrease";"5.597";"5.358";"12";"10.1802";"7.367249999999999";"21";"2.8129500000000003"
"0";"13";"false";"5.358";"small";"increase";"5.342";"5.358";"12";"1.5510000000000002";"4.63185";"21";"3.08085"
"0";"14";"false";"36.755880000000005";"high";"increase";"7.592";"36.755880000000005";"12";"19.345200000000002";"50.587698";"55.125";"31.242498"
"0";"15";"false";"36.755880000000005";"high";"decrease";"9.828";"36.755880000000005";"12";"69.936";"58.909236";"55.125";"11.026763999999998"
"0";"16";"false";"19.345200000000002";"same";"decrease";"4.327";"19.345200000000002";"12";"36.755880000000005";"25.148759999999996";"12";"11.607120000000004"
"0";"17";"false";"19.345200000000002";"same";"increase";"5.656";"19.345200000000002";"12";"10.1802";"20.82006";"12";"10.63986"
"0";"18";"false";"5.358";"small";"increase";"5.196";"5.358";"12";"1.5510000000000002";"4.23";"21";"2.679"
"0";"19";"false";"5.358";"small";"decrease";"3.826";"5.358";"12";"10.1802";"7.903049999999999";"21";"2.2771500000000002"
"0";"20";"false";"5.358";"same";"decrease";"5.543";"5.358";"12";"10.1802";"5.625899999999999";"12";"4.5543"
"0";"21";"false";"5.358";"same";"increase";"4.733";"5.358";"12";"1.5510000000000002";"3.82815";"12";"2.2771499999999993"
"0";"22";"false";"36.755880000000005";"medium";"increase";"5.51";"36.755880000000005";"12";"19.345200000000002";"45.07431600000001";"36.75";"25.72911600000001"
"0";"23";"false";"36.755880000000005";"medium";"decrease";"4.549";"36.755880000000005";"12";"69.936";"50.639162999999996";"36.75";"19.296837000000004"
"0";"24";"false";"19.345200000000002";"small";"decrease";"3.759";"19.345200000000002";"12";"36.755880000000005";"19.345200000000002";"21";"17.410680000000003"
"0";"25";"false";"19.345200000000002";"small";"increase";"3.865";"19.345200000000002";"12";"10.1802";"10.1802";"21";"0"
"0";"26";"false";"36.755880000000005";"high";"increase";"4.426";"36.755880000000005";"12";"19.345200000000002";"32.209758";"55.125";"12.864557999999999"
"0";"27";"false";"36.755880000000005";"high";"decrease";"3.992";"36.755880000000005";"12";"69.936";"69.936";"55.125";"0"
"0";"28";"false";"5.358";"medium";"decrease";"6.454";"5.358";"12";"10.1802";"6.83145";"36.75";"3.34875"
"0";"29";"false";"5.358";"medium";"increase";"6.055";"5.358";"12";"1.5510000000000002";"3.2923500000000003";"36.75";"1.74135"
"0";"30";"false";"5.358";"high";"increase";"5.772";"5.358";"12";"1.5510000000000002";"6.3732";"55.125";"4.822199999999999"
"0";"31";"false";"5.358";"high";"decrease";"4.557";"5.358";"12";"10.1802";"7.367249999999999";"55.125";"2.8129500000000003"
"0";"32";"false";"5.358";"same";"decrease";"8.154";"5.358";"12";"10.1802";"5.491949999999999";"12";"4.68825"
"0";"33";"false";"5.358";"same";"increase";"8.059";"5.358";"12";"1.5510000000000002";"5.569500000000001";"12";"4.0185"
"0";"34";"false";"36.755880000000005";"small";"increase";"4.152";"36.755880000000005";"12";"19.345200000000002";"40.479831";"21";"21.134631"
"0";"35";"false";"36.755880000000005";"small";"decrease";"8.534";"36.755880000000005";"12";"69.936";"46.044678000000005";"21";"23.891322000000006"
"0";"36";"false";"5.358";"medium";"decrease";"8.266";"5.358";"12";"10.1802";"4.956149999999999";"36.75";"5.22405"
"0";"37";"false";"5.358";"medium";"increase";"7.957";"5.358";"12";"1.5510000000000002";"6.641099999999999";"36.75";"5.0901"
"0";"38";"false";"19.345200000000002";"medium";"increase";"6.666";"19.345200000000002";"12";"10.1802";"18.40191";"36.75";"8.22171"
"0";"39";"false";"19.345200000000002";"medium";"decrease";"4.103";"19.345200000000002";"12";"36.755880000000005";"24.181499999999996";"36.75";"12.574380000000003"
"0";"40";"false";"19.345200000000002";"medium";"decrease";"6.21";"19.345200000000002";"12";"36.755880000000005";"20.31246";"36.75";"16.44342"
"0";"41";"false";"19.345200000000002";"medium";"increase";"8.186";"19.345200000000002";"12";"10.1802";"21.303689999999996";"36.75";"11.123490000000002"
"0";"42";"false";"36.755880000000005";"same";"increase";"7.525";"36.755880000000005";"12";"19.345200000000002";"23.939685000000004";"12";"4.594485"
"0";"43";"false";"36.755880000000005";"same";"decrease";"6.538";"36.755880000000005";"12";"69.936";"46.044678000000005";"12";"23.891322000000006"
"0";"44";"false";"19.345200000000002";"same";"decrease";"4.798";"19.345200000000002";"12";"36.755880000000005";"25.632390000000004";"12";"11.123489999999999"
"0";"45";"false";"19.345200000000002";"same";"increase";"6.702";"19.345200000000002";"12";"10.1802";"3.4093799999999987";"12";"6.770820000000001"
"0";"46";"false";"36.755880000000005";"medium";"increase";"9.987";"36.755880000000005";"12";"19.345200000000002";"43.23652200000001";"36.75";"23.891322000000006"
"0";"47";"false";"36.755880000000005";"medium";"decrease";"5.908";"36.755880000000005";"12";"69.936";"56.152545";"36.75";"13.783455000000002"
"0";"48";"false";"36.755880000000005";"same";"decrease";"5.142";"36.755880000000005";"12";"69.936";"48.801369";"12";"21.134631"
"0";"49";"false";"36.755880000000005";"same";"increase";"6.863";"36.755880000000005";"12";"19.345200000000002";"45.07431600000001";"12";"25.72911600000001"
"0";"50";"false";"19.345200000000002";"high";"increase";"6.481";"19.345200000000002";"12";"10.1802";"24.205470000000002";"55.125";"14.025270000000004"
"0";"51";"false";"19.345200000000002";"high";"decrease";"6.104";"19.345200000000002";"12";"36.755880000000005";"26.59965";"55.125";"10.156229999999999"
