participant,trial,practice,speed,delta_var,action,completion_time,edgeA_speed,edgeA_var,edgeB_original_speed,edgeB_speed,edgeB_var,delta_speed,visual_variable
9,0,true,5.358,small,increase,87.997,5.358,#00caff,1.5510000000000002,4.89975,#e0b500,3.34875,chroma
9,1,true,19.345200000000002,medium,decrease,31.821,19.345200000000002,#00caff,36.755880000000005,21.27972,#ff00be,15.476160000000002,chroma
9,2,true,36.755880000000005,high,decrease,47.824,36.755880000000005,#00caff,69.936,39.612399,#00e6b6,30.323601000000004,chroma
9,3,true,19.345200000000002,same,increase,30.041,19.345200000000002,#00caff,10.1802,18.885540000000002,#00caff,8.705340000000001,chroma
9,4,false,5.358,medium,decrease,40.542,5.358,#00caff,10.1802,4.42035,#ff00be,5.759849999999999,chroma
9,5,false,5.358,medium,increase,31.538,5.358,#00caff,1.5510000000000002,6.3732,#ff00be,4.822199999999999,chroma
9,6,false,19.345200000000002,medium,increase,19.657,19.345200000000002,#00caff,10.1802,16.46739,#ff00be,6.287190000000002,chroma
9,7,false,19.345200000000002,medium,decrease,21.996,19.345200000000002,#00caff,36.755880000000005,19.345200000000002,#ff00be,17.410680000000003,chroma
9,8,false,19.345200000000002,medium,decrease,19.196,19.345200000000002,#00caff,36.755880000000005,21.76335,#ff00be,14.992530000000002,chroma
9,9,false,19.345200000000002,medium,increase,21.468,19.345200000000002,#00caff,10.1802,17.434649999999998,#ff00be,7.254450000000002,chroma
9,10,false,36.755880000000005,same,increase,20.612,36.755880000000005,#00caff,19.345200000000002,35.885346,#00caff,16.540146,chroma
9,11,false,36.755880000000005,same,decrease,18.144,36.755880000000005,#00caff,69.936,45.125781,#00caff,24.810219000000004,chroma
9,12,false,19.345200000000002,same,decrease,34.361,19.345200000000002,#00caff,36.755880000000005,17.89431,#00caff,18.86157,chroma
9,13,false,19.345200000000002,same,increase,17.268,19.345200000000002,#00caff,10.1802,19.852800000000002,#00caff,9.672600000000001,chroma
9,14,false,36.755880000000005,medium,increase,18.475,36.755880000000005,#00caff,19.345200000000002,36.804243,#ff00be,17.459042999999998,chroma
9,15,false,36.755880000000005,medium,decrease,29.67,36.755880000000005,#00caff,69.936,35.017914000000005,#ff00be,34.918086,chroma
9,16,false,36.755880000000005,same,decrease,10.272,36.755880000000005,#00caff,69.936,46.044678000000005,#00caff,23.891322000000006,chroma
9,17,false,36.755880000000005,same,increase,18.328,36.755880000000005,#00caff,19.345200000000002,35.885346,#00caff,16.540146,chroma
9,18,false,19.345200000000002,high,increase,24.775,19.345200000000002,#00caff,10.1802,19.36917,#00e6b6,9.188970000000001,chroma
9,19,false,19.345200000000002,high,decrease,15.01,19.345200000000002,#00caff,36.755880000000005,20.31246,#00e6b6,16.44342,chroma
9,20,false,5.358,high,decrease,29.153,5.358,#00caff,10.1802,5.8938,#00e6b6,4.2864,chroma
9,21,false,5.358,high,increase,31.123,5.358,#00caff,1.5510000000000002,5.8374000000000015,#00e6b6,4.2864,chroma
9,22,false,19.345200000000002,small,increase,21.722,19.345200000000002,#00caff,10.1802,20.33643,#e0b500,10.15623,chroma
9,23,false,19.345200000000002,small,decrease,19.181,19.345200000000002,#00caff,36.755880000000005,17.410680000000003,#e0b500,19.345200000000002,chroma
9,24,false,19.345200000000002,high,decrease,14.434,19.345200000000002,#00caff,36.755880000000005,18.377940000000002,#00e6b6,18.377940000000002,chroma
9,25,false,19.345200000000002,high,increase,25.674,19.345200000000002,#00caff,10.1802,20.33643,#00e6b6,10.15623,chroma
9,26,false,36.755880000000005,small,increase,18.719,36.755880000000005,#00caff,19.345200000000002,40.479831,#e0b500,21.134631,chroma
9,27,false,36.755880000000005,small,decrease,18.971,36.755880000000005,#00caff,69.936,39.612399,#e0b500,30.323601000000004,chroma
9,28,false,5.358,small,decrease,31.839,5.358,#00caff,10.1802,5.491949999999999,#e0b500,4.68825,chroma
9,29,false,5.358,small,increase,33.32,5.358,#00caff,1.5510000000000002,5.569500000000001,#e0b500,4.0185,chroma
9,30,false,36.755880000000005,high,increase,31.148,36.755880000000005,#00caff,19.345200000000002,36.804243,#00e6b6,17.459042999999998,chroma
9,31,false,36.755880000000005,high,decrease,27.182,36.755880000000005,#00caff,69.936,33.18012,#00e6b6,36.755880000000005,chroma
9,32,false,19.345200000000002,same,decrease,40.045,19.345200000000002,#00caff,36.755880000000005,20.31246,#00caff,16.44342,chroma
9,33,false,19.345200000000002,same,increase,22.299,19.345200000000002,#00caff,10.1802,20.82006,#00caff,10.63986,chroma
9,34,false,5.358,small,increase,27.652,5.358,#00caff,1.5510000000000002,5.435549999999999,#e0b500,3.8845500000000004,chroma
9,35,false,5.358,small,decrease,25.364,5.358,#00caff,10.1802,4.956149999999999,#e0b500,5.22405,chroma
9,36,false,5.358,same,decrease,18.832,5.358,#00caff,10.1802,6.161699999999999,#00caff,4.0185,chroma
9,37,false,5.358,same,increase,39.841,5.358,#00caff,1.5510000000000002,5.3016000000000005,#00caff,3.7506,chroma
9,38,false,36.755880000000005,medium,increase,39.291,36.755880000000005,#00caff,19.345200000000002,34.047552,#ff00be,14.702352000000003,chroma
9,39,false,36.755880000000005,medium,decrease,15.198,36.755880000000005,#00caff,69.936,38.693501999999995,#ff00be,31.242498,chroma
9,40,false,19.345200000000002,small,decrease,32.135,19.345200000000002,#00caff,36.755880000000005,15.95979,#e0b500,20.79609,chroma
9,41,false,19.345200000000002,small,increase,11.623,19.345200000000002,#00caff,10.1802,17.918280000000003,#e0b500,7.738080000000001,chroma
9,42,false,36.755880000000005,high,increase,19.47,36.755880000000005,#00caff,19.345200000000002,41.398728,#00e6b6,22.053528000000007,chroma
9,43,false,36.755880000000005,high,decrease,27.515,36.755880000000005,#00caff,69.936,37.774604999999994,#00e6b6,32.161395000000006,chroma
9,44,false,5.358,medium,decrease,17.361,5.358,#00caff,10.1802,6.161699999999999,#ff00be,4.0185,chroma
9,45,false,5.358,medium,increase,18.723,5.358,#00caff,1.5510000000000002,5.3016000000000005,#ff00be,3.7506,chroma
9,46,false,5.358,high,increase,16.068,5.358,#00caff,1.5510000000000002,6.1053,#00e6b6,4.5543,chroma
9,47,false,5.358,high,decrease,21.562,5.358,#00caff,10.1802,6.027750000000001,#00e6b6,4.152449999999999,chroma
9,48,false,5.358,same,decrease,21.341,5.358,#00caff,10.1802,5.358,#00caff,4.8222,chroma
9,49,false,5.358,same,increase,24.691,5.358,#00caff,1.5510000000000002,5.435549999999999,#00caff,3.8845500000000004,chroma
9,50,false,36.755880000000005,small,increase,36.67,36.755880000000005,#00caff,19.345200000000002,34.047552,#e0b500,14.702352000000003,chroma
9,51,false,36.755880000000005,small,decrease,24.493,36.755880000000005,#00caff,69.936,38.693501999999995,#e0b500,31.242498,chroma
