"participant";"trial";"practice";"speed";"delta_var";"action";"completion_time";"edgeA_speed";"edgeA_var";"edgeB_original_speed";"edgeB_speed";"edgeB_var";"delta_speed"
"11";"0";"true";"5.358";"small";"increase";"16.513";"5.358";"4";"1.5510000000000002";"3.9621";"6.5";"2.4111"
"11";"1";"true";"19.345200000000002";"medium";"decrease";"8.176";"19.345200000000002";"4";"36.755880000000005";"27.566910000000004";"11";"9.18897"
"11";"2";"true";"36.755880000000005";"high";"decrease";"14.901";"36.755880000000005";"4";"69.936";"30.423429000000002";"17";"39.51257100000001"
"11";"3";"true";"19.345200000000002";"same";"increase";"9.948";"19.345200000000002";"4";"10.1802";"19.36917";"4";"9.188970000000001"
"11";"4";"false";"19.345200000000002";"small";"decrease";"22.777";"19.345200000000002";"4";"36.755880000000005";"20.31246";"6.5";"16.44342"
"11";"5";"false";"19.345200000000002";"small";"increase";"10.623";"19.345200000000002";"4";"10.1802";"0.9912299999999992";"6.5";"9.188970000000001"
"11";"6";"false";"19.345200000000002";"high";"increase";"11.831";"19.345200000000002";"4";"10.1802";"15.983760000000002";"17";"5.803560000000001"
"11";"7";"false";"19.345200000000002";"high";"decrease";"14.477";"19.345200000000002";"4";"36.755880000000005";"23.69787";"17";"13.05801"
"11";"8";"false";"36.755880000000005";"small";"decrease";"10.72";"36.755880000000005";"4";"69.936";"41.450193";"6.5";"28.485807"
"11";"9";"false";"36.755880000000005";"small";"increase";"11.666";"36.755880000000005";"4";"19.345200000000002";"34.966449000000004";"6.5";"15.621249000000002"
"11";"10";"false";"5.358";"small";"increase";"10.945";"5.358";"4";"1.5510000000000002";"5.435549999999999";"6.5";"3.8845500000000004"
"11";"11";"false";"5.358";"small";"decrease";"15.897";"5.358";"4";"10.1802";"8.036999999999999";"6.5";"2.1432000000000007"
"11";"12";"false";"36.755880000000005";"high";"decrease";"10.927";"36.755880000000005";"4";"69.936";"37.774604999999994";"17";"32.161395000000006"
"11";"13";"false";"36.755880000000005";"high";"increase";"11.212";"36.755880000000005";"4";"19.345200000000002";"34.966449000000004";"17";"15.621249000000002"
"11";"14";"false";"19.345200000000002";"same";"increase";"10.093";"19.345200000000002";"4";"10.1802";"13.56561";"4";"3.385410000000001"
"11";"15";"false";"19.345200000000002";"same";"decrease";"8.914";"19.345200000000002";"4";"36.755880000000005";"26.59965";"4";"10.156229999999999"
"11";"16";"false";"5.358";"small";"decrease";"11.689";"5.358";"4";"10.1802";"6.83145";"6.5";"3.34875"
"11";"17";"false";"5.358";"small";"increase";"18.136";"5.358";"4";"1.5510000000000002";"4.7658000000000005";"6.5";"3.2148000000000003"
"11";"18";"false";"5.358";"same";"increase";"12.74";"5.358";"4";"1.5510000000000002";"4.63185";"4";"3.08085"
"11";"19";"false";"5.358";"same";"decrease";"9.571";"5.358";"4";"10.1802";"8.304899999999998";"4";"1.8753"
"11";"20";"false";"36.755880000000005";"medium";"decrease";"7.047";"36.755880000000005";"4";"69.936";"41.450193";"11";"28.485807"
"11";"21";"false";"36.755880000000005";"medium";"increase";"5.497";"36.755880000000005";"4";"19.345200000000002";"39.560934";"11";"20.215734"
"11";"22";"false";"19.345200000000002";"small";"increase";"10.507";"19.345200000000002";"4";"10.1802";"18.885540000000002";"6.5";"8.705340000000001"
"11";"23";"false";"19.345200000000002";"small";"decrease";"11.073";"19.345200000000002";"4";"36.755880000000005";"22.730610000000002";"6.5";"14.025269999999999"
"11";"24";"false";"36.755880000000005";"high";"decrease";"8.797";"36.755880000000005";"4";"69.936";"48.801369";"17";"21.134631"
"11";"25";"false";"36.755880000000005";"high";"increase";"9.415";"36.755880000000005";"4";"19.345200000000002";"36.804243";"17";"17.459042999999998"
"11";"26";"false";"5.358";"medium";"increase";"8.493";"5.358";"4";"1.5510000000000002";"4.4979000000000005";"11";"2.9469"
"11";"27";"false";"5.358";"medium";"decrease";"6.342";"5.358";"4";"10.1802";"10.1802";"11";"0"
"11";"28";"false";"5.358";"high";"decrease";"11.525";"5.358";"4";"10.1802";"7.5012";"17";"2.6789999999999994"
"11";"29";"false";"5.358";"high";"increase";"5.744";"5.358";"4";"1.5510000000000002";"4.63185";"17";"3.08085"
"11";"30";"false";"5.358";"same";"increase";"15.071";"5.358";"4";"1.5510000000000002";"3.4263000000000003";"4";"1.8753"
"11";"31";"false";"5.358";"same";"decrease";"10.009";"5.358";"4";"10.1802";"8.438849999999999";"4";"1.7413500000000004"
"11";"32";"false";"36.755880000000005";"small";"decrease";"7.729";"36.755880000000005";"4";"69.936";"44.206884";"6.5";"25.729115999999998"
"11";"33";"false";"36.755880000000005";"small";"increase";"6.558";"36.755880000000005";"4";"19.345200000000002";"34.966449000000004";"6.5";"15.621249000000002"
"11";"34";"false";"5.358";"medium";"increase";"7.303";"5.358";"4";"1.5510000000000002";"5.167650000000001";"11";"3.6166500000000004"
"11";"35";"false";"5.358";"medium";"decrease";"6.433";"5.358";"4";"10.1802";"8.304899999999998";"11";"1.8753"
"11";"36";"false";"19.345200000000002";"medium";"decrease";"6.465";"19.345200000000002";"4";"36.755880000000005";"29.50143";"11";"7.254449999999999"
