participant,trial,practice,speed,delta_var,action,completion_time,edgeA_speed,edgeA_var,edgeB_original_speed,edgeB_speed,edgeB_var,delta_speed,visual_variable
8,0,true,5.358,small,increase,56.285,5.358,4,1.5510000000000002,5.3016000000000005,6.5,3.7506,height
8,1,true,19.345200000000002,medium,decrease,18.422,19.345200000000002,4,36.755880000000005,21.76335,11,14.992530000000002,height
8,2,true,36.755880000000005,high,decrease,18.201,36.755880000000005,4,69.936,33.18012,17,36.755880000000005,height
8,3,true,19.345200000000002,same,increase,8.643,19.345200000000002,4,10.1802,10.1802,4,0,height
8,4,false,36.755880000000005,same,decrease,36.054,36.755880000000005,4,69.936,35.017914000000005,4,34.918086,height
8,5,false,36.755880000000005,same,increase,29.816,36.755880000000005,4,19.345200000000002,28.534170000000003,4,9.188970000000001,height
8,6,false,19.345200000000002,high,increase,27.122,19.345200000000002,4,10.1802,18.40191,17,8.22171,height
8,7,false,19.345200000000002,high,decrease,15.561,19.345200000000002,4,36.755880000000005,15.95979,17,20.79609,height
8,8,false,5.358,high,decrease,23.584,5.358,4,10.1802,7.769100000000001,17,2.4111,height
8,9,false,5.358,high,increase,16.531,5.358,4,1.5510000000000002,6.239250000000001,17,4.68825,height
8,10,false,19.345200000000002,small,increase,38.396,19.345200000000002,4,10.1802,23.238210000000002,6.5,13.058010000000003,height
8,11,false,19.345200000000002,small,decrease,15.147,19.345200000000002,4,36.755880000000005,18.377940000000002,6.5,18.377940000000002,height
8,12,false,19.345200000000002,high,decrease,20.389,19.345200000000002,4,36.755880000000005,19.345200000000002,17,17.410680000000003,height
8,13,false,19.345200000000002,high,increase,13.924,19.345200000000002,4,10.1802,16.46739,17,6.287190000000002,height
8,14,false,36.755880000000005,small,increase,12.963,36.755880000000005,4,19.345200000000002,29.453067,6.5,10.107866999999999,height
8,15,false,36.755880000000005,small,decrease,19.34,36.755880000000005,4,69.936,37.774604999999994,6.5,32.161395000000006,height
8,16,false,5.358,small,decrease,6.205,5.358,4,10.1802,10.1802,6.5,0,height
8,17,false,5.358,small,increase,23.368,5.358,4,1.5510000000000002,8.2485,6.5,6.6975,height
8,18,false,36.755880000000005,high,increase,13.211,36.755880000000005,4,19.345200000000002,33.128655,17,13.783454999999998,height
8,19,false,36.755880000000005,high,decrease,32.044,36.755880000000005,4,69.936,36.855708,17,33.080292,height
8,20,false,19.345200000000002,same,decrease,14.285,19.345200000000002,4,36.755880000000005,27.566910000000004,4,9.18897,height
8,21,false,19.345200000000002,same,increase,32.822,19.345200000000002,4,10.1802,16.46739,4,6.287190000000002,height
8,22,false,5.358,small,increase,13.281,5.358,4,1.5510000000000002,7.1769,6.5,5.625899999999999,height
