"participant";"trial";"practice";"speed";"delta_var";"action";"completion_time";"edgeA_speed";"edgeA_var";"edgeB_original_speed";"edgeB_speed";"edgeB_var";"delta_speed"
"5";"0";"true";"5.358";"small";"increase";"11.564";"5.358";"#00caff";"1.5510000000000002";"3.1584000000000003";"#e0b500";"1.6074000000000002"
"5";"1";"true";"19.345200000000002";"medium";"decrease";"21.601";"19.345200000000002";"#00caff";"36.755880000000005";"22.246980000000004";"#ff00be";"14.508900000000004"
"5";"2";"true";"36.755880000000005";"high";"decrease";"10.584";"36.755880000000005";"#00caff";"69.936";"39.612399";"#00e6b6";"30.323601000000004"
"5";"3";"true";"19.345200000000002";"same";"increase";"12.818";"19.345200000000002";"#00caff";"10.1802";"16.46739";"#00caff";"6.287190000000002"
"5";"4";"false";"5.358";"high";"decrease";"6.898";"5.358";"#00caff";"10.1802";"9.24255";"#00e6b6";"0.93765"
"5";"5";"false";"5.358";"high";"increase";"9.28";"5.358";"#00caff";"1.5510000000000002";"4.09605";"#00e6b6";"2.5450500000000007"
"5";"6";"false";"5.358";"same";"increase";"12.115";"5.358";"#00caff";"1.5510000000000002";"6.239250000000001";"#00caff";"4.68825"
"5";"7";"false";"5.358";"same";"decrease";"18.753";"5.358";"#00caff";"10.1802";"6.295649999999999";"#00caff";"3.8845500000000004"
"5";"8";"false";"36.755880000000005";"small";"decrease";"14.226";"36.755880000000005";"#00caff";"69.936";"42.36909";"#e0b500";"27.566910000000004"
"5";"9";"false";"36.755880000000005";"small";"increase";"14.376";"36.755880000000005";"#00caff";"19.345200000000002";"36.804243";"#e0b500";"17.459042999999998"
"5";"10";"false";"5.358";"medium";"increase";"11.73";"5.358";"#00caff";"1.5510000000000002";"3.1584000000000003";"#ff00be";"1.6074000000000002"
"5";"11";"false";"5.358";"medium";"decrease";"26.972";"5.358";"#00caff";"10.1802";"8.304899999999998";"#ff00be";"1.8753"
"5";"12";"false";"19.345200000000002";"medium";"decrease";"12.25";"19.345200000000002";"#00caff";"36.755880000000005";"31.435950000000002";"#ff00be";"5.319929999999999"
"5";"13";"false";"19.345200000000002";"medium";"increase";"15.239";"19.345200000000002";"#00caff";"10.1802";"20.82006";"#ff00be";"10.63986"
"5";"14";"false";"19.345200000000002";"medium";"increase";"16.586";"19.345200000000002";"#00caff";"10.1802";"20.82006";"#ff00be";"10.63986"
