"participant";"trial";"practice";"speed";"delta_var";"action";"completion_time";"edgeA_speed";"edgeA_var";"edgeB_original_speed";"edgeB_speed";"edgeB_var";"delta_speed"
"4";"0";"true";"5.358";"small";"increase";"61.176";"5.358";"#000000";"1.5510000000000002";"6.3732";"#4e4e4e";"4.822199999999999"
"4";"1";"true";"19.345200000000002";"medium";"decrease";"41.209";"19.345200000000002";"#000000";"36.755880000000005";"17.410680000000003";"#a2a2a2";"19.345200000000002"
"4";"2";"true";"36.755880000000005";"high";"decrease";"24.463";"36.755880000000005";"#000000";"69.936";"40.531296000000005";"#ffffff";"29.404704000000006"
"4";"3";"true";"19.345200000000002";"same";"increase";"35.228";"19.345200000000002";"#000000";"10.1802";"16.46739";"#000000";"6.287190000000002"
"4";"4";"false";"36.755880000000005";"small";"decrease";"28.767";"36.755880000000005";"#000000";"69.936";"46.044678000000005";"#4e4e4e";"23.891322000000006"
"4";"5";"false";"36.755880000000005";"small";"increase";"51.387";"36.755880000000005";"#000000";"19.345200000000002";"40.479831";"#4e4e4e";"21.134631"
"4";"6";"false";"5.358";"medium";"increase";"53.221";"5.358";"#000000";"1.5510000000000002";"6.641099999999999";"#a2a2a2";"5.0901"
"4";"7";"false";"5.358";"medium";"decrease";"92.111";"5.358";"#000000";"10.1802";"5.491949999999999";"#a2a2a2";"4.68825"
"4";"8";"false";"19.345200000000002";"medium";"decrease";"30.872";"19.345200000000002";"#000000";"36.755880000000005";"24.181499999999996";"#a2a2a2";"12.574380000000003"
"4";"9";"false";"19.345200000000002";"medium";"increase";"43.139";"19.345200000000002";"#000000";"10.1802";"17.434649999999998";"#a2a2a2";"7.254450000000002"
"4";"10";"false";"19.345200000000002";"medium";"increase";"85.36";"19.345200000000002";"#000000";"10.1802";"18.40191";"#a2a2a2";"8.22171"
"4";"11";"false";"19.345200000000002";"medium";"decrease";"39.597";"19.345200000000002";"#000000";"36.755880000000005";"19.82883";"#a2a2a2";"16.927049999999998"
"4";"12";"false";"36.755880000000005";"same";"decrease";"25.32";"36.755880000000005";"#000000";"69.936";"45.125781";"#000000";"24.810219000000004"
"4";"13";"false";"36.755880000000005";"same";"increase";"45.8";"36.755880000000005";"#000000";"19.345200000000002";"34.966449000000004";"#000000";"15.621249000000002"
"4";"14";"false";"19.345200000000002";"same";"increase";"58.518";"19.345200000000002";"#000000";"10.1802";"21.787320000000005";"#000000";"11.607120000000004"
"4";"15";"false";"19.345200000000002";"same";"decrease";"44.895";"19.345200000000002";"#000000";"36.755880000000005";"28.05054";"#000000";"8.70534"
"4";"16";"false";"36.755880000000005";"medium";"decrease";"55.447";"36.755880000000005";"#000000";"69.936";"31.342326";"#a2a2a2";"38.59367400000001"
"4";"17";"false";"36.755880000000005";"medium";"increase";"22.541";"36.755880000000005";"#000000";"19.345200000000002";"34.966449000000004";"#a2a2a2";"15.621249000000002"
"4";"18";"false";"36.755880000000005";"same";"increase";"42.328";"36.755880000000005";"#000000";"19.345200000000002";"34.966449000000004";"#000000";"15.621249000000002"
"4";"19";"false";"36.755880000000005";"same";"decrease";"124.885";"36.755880000000005";"#000000";"69.936";"42.36909";"#000000";"27.566910000000004"
"4";"20";"false";"19.345200000000002";"high";"decrease";"24.964";"19.345200000000002";"#000000";"36.755880000000005";"21.76335";"#ffffff";"14.992530000000002"
"4";"21";"false";"19.345200000000002";"high";"increase";"15.053";"19.345200000000002";"#000000";"10.1802";"13.56561";"#ffffff";"3.385410000000001"
"4";"22";"false";"5.358";"high";"increase";"61.098";"5.358";"#000000";"1.5510000000000002";"4.63185";"#ffffff";"3.08085"
"4";"23";"false";"5.358";"high";"decrease";"58.965";"5.358";"#000000";"10.1802";"5.358";"#ffffff";"4.8222"
"4";"24";"false";"19.345200000000002";"small";"decrease";"49.995";"19.345200000000002";"#000000";"36.755880000000005";"19.345200000000002";"#4e4e4e";"17.410680000000003"
"4";"25";"false";"19.345200000000002";"small";"increase";"50.526";"19.345200000000002";"#000000";"10.1802";"15.983760000000002";"#4e4e4e";"5.803560000000001"
"4";"26";"false";"19.345200000000002";"high";"increase";"159.904";"19.345200000000002";"#000000";"10.1802";"19.36917";"#ffffff";"9.188970000000001"
"4";"27";"false";"19.345200000000002";"high";"decrease";"59.557";"19.345200000000002";"#000000";"36.755880000000005";"18.377940000000002";"#ffffff";"18.377940000000002"
"4";"28";"false";"36.755880000000005";"small";"decrease";"47.419";"36.755880000000005";"#000000";"69.936";"41.450193";"#4e4e4e";"28.485807"
"4";"29";"false";"36.755880000000005";"small";"increase";"102.613";"36.755880000000005";"#000000";"19.345200000000002";"35.885346";"#4e4e4e";"16.540146"
"4";"30";"false";"5.358";"small";"increase";"75.986";"5.358";"#000000";"1.5510000000000002";"6.3732";"#4e4e4e";"4.822199999999999"
"4";"31";"false";"5.358";"small";"decrease";"71.402";"5.358";"#000000";"10.1802";"6.429600000000001";"#4e4e4e";"3.7506"
"4";"32";"false";"36.755880000000005";"high";"decrease";"27.126";"36.755880000000005";"#000000";"69.936";"45.125781";"#ffffff";"24.810219000000004"
"4";"33";"false";"36.755880000000005";"high";"increase";"84.685";"36.755880000000005";"#000000";"19.345200000000002";"37.72314";"#ffffff";"18.377940000000002"
"4";"34";"false";"19.345200000000002";"same";"increase";"76.258";"19.345200000000002";"#000000";"10.1802";"17.918280000000003";"#000000";"7.738080000000001"
"4";"35";"false";"19.345200000000002";"same";"decrease";"47.84";"19.345200000000002";"#000000";"36.755880000000005";"19.345200000000002";"#000000";"17.410680000000003"
"4";"36";"false";"5.358";"small";"decrease";"45.734";"5.358";"#000000";"10.1802";"7.635150000000001";"#4e4e4e";"2.54505"
"4";"37";"false";"5.358";"small";"increase";"83.845";"5.358";"#000000";"1.5510000000000002";"5.0337000000000005";"#4e4e4e";"3.4827"
"4";"38";"false";"5.358";"same";"increase";"101.113";"5.358";"#000000";"1.5510000000000002";"5.3016000000000005";"#000000";"3.7506"
"4";"39";"false";"5.358";"same";"decrease";"24.579";"5.358";"#000000";"10.1802";"6.295649999999999";"#000000";"3.8845500000000004"
"4";"40";"false";"36.755880000000005";"medium";"decrease";"85.54";"36.755880000000005";"#000000";"69.936";"33.18012";"#a2a2a2";"36.755880000000005"
"4";"41";"false";"36.755880000000005";"medium";"increase";"85.657";"36.755880000000005";"#000000";"19.345200000000002";"35.885346";"#a2a2a2";"16.540146"
"4";"42";"false";"19.345200000000002";"small";"increase";"135.155";"19.345200000000002";"#000000";"10.1802";"17.434649999999998";"#4e4e4e";"7.254450000000002"
"4";"43";"false";"19.345200000000002";"small";"decrease";"129.894";"19.345200000000002";"#000000";"36.755880000000005";"18.86157";"#4e4e4e";"17.89431"
"4";"44";"false";"36.755880000000005";"high";"decrease";"17.223";"36.755880000000005";"#000000";"69.936";"42.36909";"#ffffff";"27.566910000000004"
"4";"45";"false";"36.755880000000005";"high";"increase";"24.423";"36.755880000000005";"#000000";"19.345200000000002";"41.398728";"#ffffff";"22.053528000000007"
"4";"46";"false";"5.358";"medium";"increase";"18.968";"5.358";"#000000";"1.5510000000000002";"4.4979000000000005";"#a2a2a2";"2.9469"
"4";"47";"false";"5.358";"medium";"decrease";"47.714";"5.358";"#000000";"10.1802";"4.152449999999999";"#a2a2a2";"6.027750000000001"
"4";"48";"false";"5.358";"high";"decrease";"37.606";"5.358";"#000000";"10.1802";"5.358";"#ffffff";"4.8222"
"4";"49";"false";"5.358";"high";"increase";"44.001";"5.358";"#000000";"1.5510000000000002";"5.0337000000000005";"#ffffff";"3.4827"
"4";"50";"false";"5.358";"same";"increase";"74.936";"5.358";"#000000";"1.5510000000000002";"5.0337000000000005";"#000000";"3.4827"
"4";"51";"false";"5.358";"same";"decrease";"125.14";"5.358";"#000000";"10.1802";"6.563549999999999";"#000000";"3.616650000000001"
